path,version,stage,nplayers,chars,last_frame,ucf
Gang-Steals\10\Game_20190309T164137.slp,1.7.1,31,2,9 15,16996,1
Gang-Steals\10\Game_20190309T164635.slp,1.7.1,3,2,9 15,7735,1
Gang-Steals\10\Game_20190309T164858.slp,1.7.1,28,2,9 15,12630,1
Gang-Steals\10\Game_20190309T165352.slp,1.7.1,28,2,20 2,4952,1
Gang-Steals\10\Game_20190309T165535.slp,1.7.1,3,2,20 2,8050,1
Gang-Steals\10\Game_20190309T165807.slp,1.7.1,32,2,20 2,6413,1
Gang-Steals\10\Game_20190309T170010.slp,1.7.1,2,2,20 2,5392,1
Gang-Steals\10\Game_20190309T170404.slp,1.7.1,8,2,20 2,6681,1
Gang-Steals\10\Game_20190309T170610.slp,1.7.1,31,2,20 2,2277,1
Gang-Steals\10\Game_20190309T170706.slp,1.7.1,28,2,20 20,6557,1
Gang-Steals\10\Game_20190309T170909.slp,1.7.1,2,2,20 20,7052,1
Gang-Steals\10\Game_20190309T171123.slp,1.7.1,31,2,20 2,11128,1
Gang-Steals\10\Game_20190309T171446.slp,1.7.1,3,2,20 2,4583,1
Gang-Steals\11\Game_20190308T082213.slp,1.7.1,32,2,0 7,10929,1
Gang-Steals\11\Game_20190308T094948.slp,1.7.1,8,2,9 0,31711,1
Gang-Steals\11\Game_20190308T100323.slp,1.7.1,31,2,6 19,7259,1
Gang-Steals\11\Game_20190308T100543.slp,1.7.1,31,2,6 19,7123,1
Gang-Steals\11\Game_20190308T100759.slp,1.7.1,31,2,6 19,4086,1
Gang-Steals\11\Game_20190308T101041.slp,1.7.1,31,2,25 9,11419,1
Gang-Steals\11\Game_20190308T101408.slp,1.7.1,8,2,25 9,13334,1
Gang-Steals\11\Game_20190308T101813.slp,1.7.1,8,2,25 9,8936,1
Gang-Steals\11\Game_20190308T102201.slp,1.7.1,28,2,20 0,9409,1
Gang-Steals\11\Game_20190308T102540.slp,1.7.1,31,2,20 0,5672,1
Gang-Steals\11\Game_20190308T102730.slp,1.7.1,3,2,20 0,11880,1
Gang-Steals\11\Game_20190308T103123.slp,1.7.1,8,2,20 25,10080,1
Gang-Steals\11\Game_20190308T103437.slp,1.7.1,8,2,25 0,10049,1
Gang-Steals\11\Game_20190308T103753.slp,1.7.1,3,2,20 25,13334,1
Gang-Steals\11\Game_20190308T104155.slp,1.7.1,28,2,19 0,7313,1
Gang-Steals\11\Game_20190308T104713.slp,1.7.1,8,2,12 9,12956,1
Gang-Steals\11\Game_20190308T105141.slp,1.7.1,31,2,12 9,9947,1
Gang-Steals\11\Game_20190308T105625.slp,1.7.1,31,2,20 20,11878,1
Gang-Steals\11\Game_20190308T110002.slp,1.7.1,8,2,20 20,10413,1
Gang-Steals\11\Game_20190308T110537.slp,1.7.1,2,2,2 9,9489,1
Gang-Steals\11\Game_20190308T110839.slp,1.7.1,31,2,2 9,10121,1
Gang-Steals\11\Game_20190308T111144.slp,1.7.1,32,2,2 9,10928,1
Gang-Steals\11\Game_20190308T111504.slp,1.7.1,28,2,2 9,11852,1
Gang-Steals\11\Game_20190308T112140.slp,1.7.1,8,2,2 2,7333,1
Gang-Steals\11\Game_20190308T112407.slp,1.7.1,3,2,2 2,12942,1
Gang-Steals\11\Game_20190308T112757.slp,1.7.1,32,2,2 2,2,1
Gang-Steals\11\Game_20190308T112813.slp,1.7.1,2,2,9 2,10088,1
Gang-Steals\11\Game_20190308T113448.slp,1.7.1,31,2,0 25,2205,1
Gang-Steals\11\Game_20190308T113538.slp,1.7.1,31,2,0 25,13420,1
Gang-Steals\11\Game_20190308T113937.slp,1.7.1,8,2,0 25,9837,1
Gang-Steals\11\Game_20190308T114247.slp,1.7.1,3,2,0 25,10465,1
Gang-Steals\11\Game_20190308T114753.slp,1.7.1,31,2,20 15,4068,1
Gang-Steals\11\Game_20190308T115000.slp,1.7.1,31,2,14 12,13483,1
Gang-Steals\11\Game_20190308T115404.slp,1.7.1,3,2,14 12,15752,1
Gang-Steals\11\Game_20190308T120000.slp,1.7.1,31,2,14 15,1954,1
Gang-Steals\11\Game_20190308T120054.slp,1.7.1,8,2,14 15,12695,1
Gang-Steals\11\Game_20190308T120447.slp,1.7.1,31,2,2 15,12087,1
Gang-Steals\11\Game_20190308T120915.slp,1.7.1,31,2,15 2,4142,1
Gang-Steals\11\Game_20190308T121342.slp,1.7.1,31,2,0 15,8174,1
Gang-Steals\11\Game_20190308T121621.slp,1.7.1,2,2,20 15,6581,1
Gang-Steals\11\Game_20190308T122308.slp,1.7.1,31,2,12 0,2281,1
Gang-Steals\11\Game_20190308T122401.slp,1.7.1,28,2,12 0,16635,1
Gang-Steals\11\Game_20190308T122908.slp,1.7.1,31,2,12 0,13119,1
Gang-Steals\11\Game_20190308T123446.slp,1.7.1,3,2,2 20,9548,1
Gang-Steals\11\Game_20190308T123743.slp,1.7.1,32,2,2 20,14,1
Gang-Steals\11\Game_20190308T123848.slp,1.7.1,31,2,20 2,13759,1
Gang-Steals\11\Game_20190308T124309.slp,1.7.1,28,2,20 2,13335,1
Gang-Steals\11\Game_20190308T124706.slp,1.7.1,3,2,20 2,10869,1
Gang-Steals\11\Game_20190308T125119.slp,1.7.1,31,2,2 20,8183,1
Gang-Steals\11\Game_20190308T125352.slp,1.7.1,3,2,2 20,9678,1
Gang-Steals\11\Game_20190308T125704.slp,1.7.1,8,2,2 20,7872,1
Gang-Steals\11\Game_20190308T130544.slp,1.7.1,28,2,25 0,9828,1
Gang-Steals\11\Game_20190308T131809.slp,1.7.1,31,2,9 7,14914,1
Gang-Steals\11\Game_20190308T132234.slp,1.7.1,31,2,19 7,10757,1
Gang-Steals\11\Game_20190308T132546.slp,1.7.1,3,2,19 7,11182,1
Gang-Steals\11\Game_20190308T133148.slp,1.7.1,31,2,19 2,9756,1
Gang-Steals\11\Game_20190308T133448.slp,1.7.1,8,2,19 2,8565,1
Gang-Steals\11\Game_20190308T133921.slp,1.7.1,2,2,2 16,11526,1
Gang-Steals\11\Game_20190308T134252.slp,1.7.1,8,2,2 16,1976,1
Gang-Steals\11\Game_20190308T134353.slp,1.7.1,31,2,19 0,11452,1
Gang-Steals\11\Game_20190308T134723.slp,1.7.1,31,2,19 0,13347,1
Gang-Steals\11\Game_20190308T135120.slp,1.7.1,3,2,19 0,8193,1
Gang-Steals\11\Game_20190308T141942.slp,1.7.1,31,2,9 7,9099,1
Gang-Steals\11\Game_20190308T142247.slp,1.7.1,28,2,9 19,9749,1
Gang-Steals\11\Game_20190308T142545.slp,1.7.1,31,2,9 19,9459,1
Gang-Steals\11\Game_20190308T142839.slp,1.7.1,3,2,0 19,20613,1
Gang-Steals\11\Game_20190308T143446.slp,1.7.1,8,2,0 20,10448,1
Gang-Steals\11\Game_20190308T143755.slp,1.7.1,32,2,0 20,11889,1
Gang-Steals\11\Game_20190308T144235.slp,1.7.1,2,2,15 9,9168,1
Gang-Steals\11\Game_20190308T144523.slp,1.7.1,28,2,15 9,8553,1
Gang-Steals\11\Game_20190308T144802.slp,1.7.1,8,2,15 9,5612,1
Gang-Steals\11\Game_20190308T144950.slp,1.7.1,31,2,15 9,6110,1
Gang-Steals\11\Game_20190308T145145.slp,1.7.1,2,2,15 9,6400,1
Gang-Steals\11\Game_20190308T145347.slp,1.7.1,31,2,15 9,6829,1
Gang-Steals\11\Game_20190308T145555.slp,1.7.1,32,2,15 9,7857,1
Gang-Steals\11\Game_20190308T145821.slp,1.7.1,3,2,15 9,7183,1
Gang-Steals\11\Game_20190308T150042.slp,1.7.1,3,2,15 9,6767,1
Gang-Steals\11\Game_20190308T150249.slp,1.7.1,8,2,15 9,7542,1
Gang-Steals\11\Game_20190308T150509.slp,1.7.1,31,2,15 9,6648,1
Gang-Steals\11\Game_20190308T150901.slp,1.7.1,2,2,20 20,7296,1
Gang-Steals\11\Game_20190308T151119.slp,1.7.1,32,2,20 20,9214,1
Gang-Steals\11\Game_20190308T151529.slp,1.7.1,31,2,0 12,6664,1
Gang-Steals\11\Game_20190308T151732.slp,1.7.1,2,2,0 12,8250,1
Gang-Steals\11\Game_20190308T152217.slp,1.7.1,31,2,2 16,12992,1
Gang-Steals\11\Game_20190308T152611.slp,1.7.1,3,2,2 16,14571,1
Gang-Steals\11\Game_20190308T153611.slp,1.7.1,8,2,2 16,4809,1
Gang-Steals\11\Game_20190308T153805.slp,1.7.1,18,2,2 16,4446,1
Gang-Steals\11\Game_20190308T153942.slp,1.7.1,31,2,2 20,4957,1
Gang-Steals\11\Game_20190308T154120.slp,1.7.1,32,2,2 0,9433,1
Gang-Steals\11\Game_20190308T154414.slp,1.7.1,28,2,2 9,5167,1
Gang-Steals\11\Game_20190308T154557.slp,1.7.1,2,2,2 2,6769,1
Gang-Steals\11\Game_20190308T154807.slp,1.7.1,31,2,9 19,7834,1
Gang-Steals\11\Game_20190308T155040.slp,1.7.1,31,2,25 16,8170,1
Gang-Steals\11\Game_20190308T155313.slp,1.7.1,2,2,8 3,5706,1
Gang-Steals\11\Game_20190308T155508.slp,1.7.1,32,2,20 6,9895,1
Gang-Steals\11\Game_20190308T155810.slp,1.7.1,3,2,12 20,8543,1
Gang-Steals\11\Game_20190308T160051.slp,1.7.1,8,2,0 22,3943,1
Gang-Steals\11\Game_20190308T160213.slp,1.7.1,28,2,21 2,9221,1
Gang-Steals\11\Game_20190308T160503.slp,1.7.1,28,2,18 9,11039,1
Gang-Steals\11\Game_20190308T160828.slp,1.7.1,32,2,5 0,4753,1
Gang-Steals\11\Game_20190308T161003.slp,1.7.1,8,2,7 20,6860,1
Gang-Steals\11\Game_20190308T161214.slp,1.7.1,3,2,22 5,19808,1
Gang-Steals\11\Game_20190308T161802.slp,1.7.1,2,2,4 24,8520,1
Gang-Steals\11\Game_20190308T162041.slp,1.7.1,31,2,11 22,7052,1
Gang-Steals\11\Game_20190308T162255.slp,1.7.1,3,2,16 12,14064,1
Gang-Steals\11\Game_20190308T162712.slp,1.7.1,8,2,16 12,15685,1
Gang-Steals\11\Game_20190308T163213.slp,1.7.1,8,2,16 10,9242,1
Gang-Steals\11\Game_20190308T163506.slp,1.7.1,3,2,10 2,7414,1
Gang-Steals\11\Game_20190308T163730.slp,1.7.1,8,2,17 2,8224,1
Gang-Steals\11\Game_20190308T164005.slp,1.7.1,32,2,17 2,7026,1
Gang-Steals\11\Game_20190308T164219.slp,1.7.1,32,2,1 2,8101,1
Gang-Steals\11\Game_20190308T164455.slp,1.7.1,32,2,20 2,5640,1
Gang-Steals\11\Game_20190308T164652.slp,1.7.1,31,2,20 2,8250,1
Gang-Steals\11\Game_20190308T164925.slp,1.7.1,2,2,20 2,6750,1
Gang-Steals\11\Game_20190308T165132.slp,1.7.1,8,2,20 2,10761,1
Gang-Steals\11\Game_20190308T165452.slp,1.7.1,28,2,20 2,8624,1
Gang-Steals\11\Game_20190308T165730.slp,1.7.1,31,2,20 2,7759,1
Gang-Steals\11\Game_20190308T170018.slp,1.7.1,3,2,20 2,4028,1
Gang-Steals\11\Game_20190308T170141.slp,1.7.1,28,2,20 2,1784,1
Gang-Steals\11\Game_20190308T170226.slp,1.7.1,8,2,20 20,5942,1
Gang-Steals\11\Game_20190308T170424.slp,1.7.1,2,2,2 20,7153,1
Gang-Steals\11\Game_20190308T170640.slp,1.7.1,32,2,20 20,6791,1
Gang-Steals\11\Game_20190308T170847.slp,1.7.1,3,2,20 20,6894,1
Gang-Steals\11\Game_20190308T171055.slp,1.7.1,28,2,20 20,6842,1
Gang-Steals\11\Game_20190308T171303.slp,1.7.1,31,2,20 20,6107,1
Gang-Steals\11\Game_20190308T171459.slp,1.7.1,32,2,20 20,4858,1
Gang-Steals\11\Game_20190308T171635.slp,1.7.1,8,2,20 20,5612,1
Gang-Steals\11\Game_20190308T171834.slp,1.7.1,2,2,17 20,4492,1
Gang-Steals\11\Game_20190308T172006.slp,1.7.1,8,2,9 20,9102,1
Gang-Steals\11\Game_20190308T172255.slp,1.7.1,32,2,13 2,7667,1
Gang-Steals\11\Game_20190308T172522.slp,1.7.1,2,2,3 2,5062,1
Gang-Steals\11\Game_20190308T172703.slp,1.7.1,3,2,16 2,7285,1
Gang-Steals\12\Game_20190309T082516.slp,1.7.1,31,2,15 7,316,1
Gang-Steals\12\Game_20190309T082737.slp,1.7.1,31,2,15 7,900,1
Gang-Steals\12\Game_20190309T082908.slp,1.7.1,28,2,15 7,3826,1
Gang-Steals\12\Game_20190309T083031.slp,1.7.1,32,2,20 7,7105,1
Gang-Steals\12\Game_20190309T092949.slp,1.7.1,8,2,2 0,25705,1
Gang-Steals\12\Game_20190309T093748.slp,1.7.1,8,2,9 0,6,1
Gang-Steals\12\Game_20190309T093823.slp,1.7.1,2,2,9 0,6515,1
Gang-Steals\12\Game_20190309T094028.slp,1.7.1,3,2,9 0,7250,1
Gang-Steals\12\Game_20190309T094249.slp,1.7.1,31,2,9 0,6310,1
Gang-Steals\12\Game_20190309T094456.slp,1.7.1,8,2,9 0,5392,1
Gang-Steals\12\Game_20190309T094643.slp,1.7.1,28,2,9 0,8913,1
Gang-Steals\12\Game_20190309T094927.slp,1.7.1,32,2,9 0,5771,1
Gang-Steals\12\Game_20190309T095122.slp,1.7.1,3,2,9 0,6390,1
Gang-Steals\12\Game_20190309T095336.slp,1.7.1,2,2,9 0,4656,1
Gang-Steals\12\Game_20190309T095510.slp,1.7.1,31,2,9 0,6392,1
Gang-Steals\12\Game_20190309T095733.slp,1.7.1,32,2,9 0,6003,1
Gang-Steals\12\Game_20190309T100209.slp,1.7.1,3,2,8 0,13610,1
Gang-Steals\12\Game_20190309T100612.slp,1.7.1,8,2,8 0,7760,1
Gang-Steals\12\Game_20190309T100901.slp,1.7.1,28,2,8 9,9354,1
Gang-Steals\12\Game_20190309T101152.slp,1.7.1,2,2,8 9,14886,1
Gang-Steals\12\Game_20190309T101618.slp,1.7.1,8,2,20 20,8885,1
Gang-Steals\12\Game_20190309T101912.slp,1.7.1,2,2,8 20,6796,1
Gang-Steals\12\Game_20190309T102122.slp,1.7.1,3,2,19 20,8180,1
Gang-Steals\12\Game_20190309T102354.slp,1.7.1,28,2,19 20,5690,1
Gang-Steals\12\Game_20190309T102643.slp,1.7.1,32,2,8 14,5252,1
Gang-Steals\12\Game_20190309T102906.slp,1.7.1,28,2,8 14,16720,1
Gang-Steals\12\Game_20190309T103402.slp,1.7.1,8,2,8 14,7663,1
Gang-Steals\12\Game_20190309T103627.slp,1.7.1,3,2,8 14,14051,1
Gang-Steals\12\Game_20190309T104431.slp,1.7.1,32,2,9 9,12919,1
Gang-Steals\12\Game_20190309T104820.slp,1.7.1,8,2,9 9,9876,1
Gang-Steals\12\Game_20190309T105135.slp,1.7.1,31,2,9 9,16730,1
Gang-Steals\12\Game_20190309T105835.slp,1.7.1,2,2,2 9,11216,1
Gang-Steals\12\Game_20190309T110200.slp,1.7.1,31,2,2 9,8130,1
Gang-Steals\12\Game_20190309T110624.slp,1.7.1,31,2,9 9,11520,1
Gang-Steals\12\Game_20190309T110955.slp,1.7.1,3,2,14 9,14082,1
Gang-Steals\12\Game_20190309T111419.slp,1.7.1,28,2,20 9,10914,1
Gang-Steals\12\Game_20190309T112436.slp,1.7.1,8,2,2 9,9974,1
Gang-Steals\12\Game_20190309T112738.slp,1.7.1,31,2,2 9,1011,1
Gang-Steals\12\Game_20190309T112809.slp,1.7.1,3,2,2 9,8301,1
Gang-Steals\12\Game_20190309T113422.slp,1.7.1,8,2,2 15,5162,1
Gang-Steals\12\Game_20190309T113610.slp,1.7.1,2,2,2 15,1191,1
Gang-Steals\12\Game_20190309T113703.slp,1.7.1,2,2,9 15,10105,1
Gang-Steals\12\Game_20190309T114007.slp,1.7.1,31,2,9 15,11226,1
Gang-Steals\12\Game_20190309T114738.slp,1.7.1,31,2,20 20,3057,1
Gang-Steals\12\Game_20190309T114842.slp,1.7.1,31,2,20 20,10805,1
Gang-Steals\12\Game_20190309T115158.slp,1.7.1,8,2,20 20,10270,1
Gang-Steals\12\Game_20190309T115739.slp,1.7.1,31,2,12 2,4646,1
Gang-Steals\12\Game_20190309T115915.slp,1.7.1,28,2,12 2,9189,1
Gang-Steals\12\Game_20190309T120202.slp,1.7.1,31,2,12 2,11901,1
Gang-Steals\12\Game_20190309T120922.slp,1.7.1,31,2,20 0,13731,1
Gang-Steals\12\Game_20190309T121326.slp,1.7.1,31,2,20 0,14624,1
Gang-Steals\12\Game_20190309T121825.slp,1.7.1,31,2,2 25,6322,1
Gang-Steals\12\Game_20190309T122124.slp,1.7.1,31,2,3 19,14340,1
Gang-Steals\12\Game_20190309T122542.slp,1.7.1,8,2,3 19,13264,1
Gang-Steals\12\Game_20190309T123137.slp,1.7.1,2,2,9 9,13751,1
Gang-Steals\12\Game_20190309T123549.slp,1.7.1,2,2,9 9,10396,1
Gang-Steals\12\Game_20190309T124111.slp,1.7.1,31,2,2 14,9261,1
Gang-Steals\12\Game_20190309T124405.slp,1.7.1,3,2,2 14,10852,1
Gang-Steals\12\Game_20190309T124722.slp,1.7.1,3,2,2 14,12442,1
Gang-Steals\12\Game_20190309T125315.slp,1.7.1,31,2,9 0,6933,1
Gang-Steals\12\Game_20190309T125527.slp,1.7.1,28,2,15 0,7674,1
Gang-Steals\12\Game_20190309T130104.slp,1.7.1,31,2,15 20,8206,1
Gang-Steals\12\Game_20190309T130337.slp,1.7.1,2,2,15 20,11280,1
Gang-Steals\12\Game_20190309T130857.slp,1.7.1,31,2,9 0,8254,1
Gang-Steals\12\Game_20190309T131209.slp,1.7.1,3,2,9 0,16881,1
Gang-Steals\12\Game_20190309T131709.slp,1.7.1,23,2,9 0,8969,1
Gang-Steals\12\Game_20190309T132029.slp,1.7.1,31,2,2 9,1532,1
Gang-Steals\12\Game_20190309T132147.slp,1.7.1,32,2,15 9,8788,1
Gang-Steals\12\Game_20190309T132439.slp,1.7.1,8,2,15 9,9195,1
Gang-Steals\12\Game_20190309T132727.slp,1.7.1,8,2,15 9,7692,1
Gang-Steals\12\Game_20190309T133403.slp,1.7.1,31,2,7 7,7351,1
Gang-Steals\12\Game_20190309T133634.slp,1.7.1,3,2,7 7,7832,1
Gang-Steals\12\Game_20190309T134220.slp,1.7.1,31,2,7 2,361,1
Gang-Steals\12\Game_20190309T134300.slp,1.7.1,31,2,7 2,699,1
Gang-Steals\12\Game_20190309T134421.slp,1.7.1,31,2,7 2,10466,1
Gang-Steals\12\Game_20190309T134739.slp,1.7.1,28,2,7 2,11431,1
Gang-Steals\12\Game_20190309T135245.slp,1.7.1,31,4,19 16 19 9,13882,1
Gang-Steals\12\Game_20190309T135718.slp,1.7.1,3,4,19 16 19 9,16591,1
Gang-Steals\12\Game_20190309T140419.slp,1.7.1,31,2,19 0,7157,1
Gang-Steals\12\Game_20190309T140632.slp,1.7.1,2,2,12 0,5657,1
Gang-Steals\12\Game_20190309T140935.slp,1.7.1,31,2,7 2,6765,1
Gang-Steals\12\Game_20190309T141146.slp,1.7.1,31,2,7 2,10905,1
Gang-Steals\12\Game_20190309T142611.slp,1.7.1,31,2,2 2,118,1
Gang-Steals\12\Game_20190309T142631.slp,1.7.1,31,2,2 2,12442,1
Gang-Steals\12\Game_20190309T143027.slp,1.7.1,32,2,8 9,13872,1
Gang-Steals\12\Game_20190309T143544.slp,1.7.1,8,2,2 0,11810,1
Gang-Steals\12\Game_20190309T143920.slp,1.7.1,2,2,2 0,12530,1
Gang-Steals\12\Game_20190309T145150.slp,1.7.1,8,2,20 0,9921,1
Gang-Steals\12\Game_20190309T145456.slp,1.7.1,31,2,20 0,8523,1
Gang-Steals\12\Game_20190309T145940.slp,1.7.1,31,2,0 20,7255,1
Gang-Steals\12\Game_20190309T150157.slp,1.7.1,31,2,0 19,10217,1
Gang-Steals\12\Game_20190309T150510.slp,1.7.1,28,2,0 19,10975,1
Gang-Steals\12\Game_20190309T151751.slp,1.7.1,31,2,6 0,2267,1
Gang-Steals\12\Game_20190309T151842.slp,1.7.1,31,2,6 0,14208,1
Gang-Steals\12\Game_20190309T152252.slp,1.7.1,3,2,6 0,11674,1
Gang-Steals\12\Game_20190309T153327.slp,1.7.1,31,2,2 0,8818,1
Gang-Steals\12\Game_20190309T153632.slp,1.7.1,31,2,2 0,6322,1
Gang-Steals\12\Game_20190309T153845.slp,1.7.1,31,2,9 0,4438,1
Gang-Steals\12\Game_20190309T154013.slp,1.7.1,31,2,9 0,11401,1
Gang-Steals\12\Game_20190309T154340.slp,1.7.1,31,2,9 0,8571,1
Gang-Steals\12\Game_20190309T154748.slp,1.7.1,31,2,20 12,11440,1
Gang-Steals\12\Game_20190309T155117.slp,1.7.1,31,2,20 19,2119,1
Gang-Steals\12\Game_20190309T155215.slp,1.7.1,31,2,12 19,2162,1
Gang-Steals\12\Game_20190309T155304.slp,1.7.1,31,2,20 19,10411,1
Gang-Steals\12\Game_20190309T155612.slp,1.7.1,31,2,20 12,10368,1
Gang-Steals\12\Game_20190309T155941.slp,1.7.1,3,2,12 19,5126,1
Gang-Steals\12\Game_20190309T160126.slp,1.7.1,32,2,20 19,11,1
Gang-Steals\12\Game_20190309T160524.slp,1.7.1,28,2,20 9,1960,1
Gang-Steals\12\Game_20190309T160622.slp,1.7.1,8,2,2 9,6878,1
Gang-Steals\12\Game_20190309T160831.slp,1.7.1,2,2,2 9,5538,1
Gang-Steals\12\Game_20190309T161019.slp,1.7.1,2,2,2 9,6020,1
